,ユーザー名,ユーザーid,RT数,いいね数,日時,本文
0,熨斗袋,noshi91,1,5,2020-09-07-14:59:1599458365,タスク:ライセンスを頑張って読むPython/Cython 辺りへの移植に貢献できそうならする
1,こどふぉグラフ芸人,NatsubiSogan,0,2,2020-09-07-14:59:1599458364,B問題 Python-FAだったらしい
2,いおんR,cation04,0,14,2020-09-07-14:55:1599458107,pythonを称賛してるヒトとディスってるヒトの二極化が激しい。
3,笑い猫,bokudentw,2,7,2020-09-07-14:54:1599458069,ゲーム用途ではしばらくＣ＋＋需要が減ることはないだろう。というか一般的にＣ＋＋需要は増すかもしれない。しかし次世代言語は？RustとかJuliaとか騒がれているが次の世代、１０年ぐらい先ならブームがくるかも。python も１０年ぐらいかかったしね。だいたい言語ひとつで１０年ぐらいのサイクル
4,aki310,fox_aki310ooooo,0,1,2020-09-07-14:53:1599458034,MQTT通信完全に理解した。https://t.co/pPdcIDP05m
5,菅,sgttttttttttttt,0,1,2020-09-07-14:53:1599457980,Python版よろしくお願いします(クソデカ大声)
6,ルビ,Rubia_game,0,1,2020-09-07-14:52:1599457946,なんで私物理科なのに高校生の頃の同期にC言語教えてるんだろう...Cなんて中学生のときにちょろっと勉強しただけなのに...まだ最近勉強してるPythonの方が教えられるわ...
7,くらりこす,komagraclatz,0,1,2020-09-07-14:50:1599457839,"@QGmen ありがとうございます！私とその人とわざわざ講習受けに行ったけど時間のない先輩3人でちまちまやってこうと思ってます。とりあえずPython,Powerapps（とPLC…汗"
8,鈴鳴の龍,da___tsu,0,1,2020-09-07-14:48:1599457729,Python使えたらP言語マスターなのでは
9,だれ,pro_anyone,0,4,2020-09-07-14:46:1599457594,TLEに悩むPython勢の瞳には、光るものが＿＿＿＿＿＿
10,きっしゅ@フリーエンジニア目指し中,ibukish,0,1,2020-09-07-14:45:1599457546,@marshie_key 動くものを作るのは簡単なんですよね。問題はそれがなぜ動くかを理解することだと思っています‼️エラーはなぜ動かないかをPythonが教えてくれます。エラーの原因を調査することは、なぜ動くかを理解する助けになります☺️✨個人的にはエラー解消スキルは必須だと思います‼️
11,仁/JIN,greenglish3150,0,7,2020-09-07-14:45:1599457538,【プログラミング学習のProgate】Pythonのレベルが18にUPしました！ https://t.co/gKQDplkuIh #Progate
12,エクセルの神髄,yamaoka_ss,0,1,2020-09-07-14:45:1599457534,Pythonの変数名って何文字までいけるのだろう、、、（試してみる気はないw）VBAは255文字って書いてるけど、確認した覚えはあるようなないような、、、
13,prd🦍,prd_xxx,1,56,2020-09-07-14:45:1599457524,そう!!! まだPython版ACLは来ないのだ!!! なぜなら!!!誰も!!! Python版ACLを作っていないからである!!! https://t.co/TiTSjFSA57
14,りょう,ryoitasato,0,6,2020-09-07-14:44:1599457496,今日は詰まりすぎて全然進まんかった…Pythonで開発したかったけどNode.jsの本しかなかったからついでにNode.jsの勉強もしてるから余計わからん。#alexa #勉強#駆け出しエンジニアとつながりたい
15,たこぱいそん,python_octopus,0,3,2020-09-07-14:44:1599457476,懐かしのπ☆←使い魔
16,鈴鳴の龍,da___tsu,0,1,2020-09-07-14:44:1599457454,Pythonで開発提案して業務時間内で勉強したいなぁ
17,ぱぐ,pagu888,0,1,2020-09-07-14:41:1599457312,9月7日レアジョブPythonの勉強読書インターンストレッチ充実
18,のり😁,noriMy1,0,1,2020-09-07-14:40:1599457248,今日からpythonでスクレイピングやるぞー！やっぱり目標（アウトプット）がないと、続かない。#プログラミング独学
19,たこぱいそん,python_octopus,0,1,2020-09-07-14:40:1599457214,いまのなし
20,たこぱいそん,python_octopus,3,6,2020-09-07-14:40:1599457206,こんにちはほしくんガチ勢です
21,も,mt03kkk18wu,0,1,2020-09-07-14:40:1599457204,@kosenstudent これは自論なんすけどpythonはライブラリの多様さ含めてpythonなんで、使えるもんはどんどん使って使い方に慣れる方針でいいかと…早いの書きたければいろいろありますし。juliaとか
22,れいほん🔰RΞIНОИ,reihon_exe,0,1,2020-09-07-14:39:1599457183,@Chromebookkaeyo それよね。一応俺もPythonとかblenderとか色々勉強？はしてるけどこんなの役に立たないし時間の無駄よね･･･
23,山田徹,yamada_toru1980,0,1,2020-09-07-14:39:1599457178,っま、理論的には出来るんだろうけど、出力結果をどうするか。グラフならgnuplotを使えば瞬で完成だけど、音階となるとpythonでグラフィカルにやるしかないかな...（draw関数等でピアノの鍵盤を描く的な）そんな、、僕、出来ないよ！！（某ロボットアニメの少年風）
24,ころんびあ,yurucamp_i,1,1,2020-09-07-14:39:1599457154,AtCoder LibraryをPythonistの人がPython用に書き直してくれると信じてる👀
25,れいほん🔰RΞIНОИ,reihon_exe,0,7,2020-09-07-14:37:1599457065,家のiMac2011blenderもPythonも編集･･･はやってないけど色々こなしちゃう子です
26,カピバラ,kapi_dentsu,0,1,2020-09-07-14:37:1599457065,@python_01 東京あるあるって拡大解釈しても問題ない
27,チーズ🍔バーガー🥛ミルクLサイズ💓ラブラブセット,amusing365,0,7,2020-09-07-14:37:1599457026,Pythonやりて〜↓2分で挫折↓今
28,真っ白しろすけ,python_01,0,2,2020-09-07-14:36:1599457017,@kapi_dentsu 調布駅前あるあるだから調布駅前かと思っt(ry
29,Misagon エンジニア/雑貨屋MeHer開店中,Misagon0629,0,1,2020-09-07-14:36:1599457000,@KawausoSenshi なるほど、、あまり詳しくないですけどPythonは画像認識とかAIでしたっけ
30,鯨,KJR68782645,0,4,2020-09-07-14:36:1599456985,プログラミング弱者ワイ「pythonってなんて読むんだ…？サイトン…？」
31,"こてつ(ONO,Tetsuo)",g_plains,0,1,2020-09-07-14:36:1599456984,お、俺明日からMSLearn でpythonの勉強するんだ...(ぱたり)https://t.co/EqEHIhE9N6
32,Kazu@よちよちPythonエンジニア,Kazu_and_Wife,2,6,2020-09-07-14:36:1599456973,【地道にnoteを更新しています！！！！】【AIと特許調査】エラー定義の難しさ｜kazu3hara（知財マン→Pythonエンジニア→AIエンジニア／データサイエンティスト修行中） @Kazu_and_Wife #note https://t.co/gBRU7zyHJI #日記 #エッセイ #コラム #人工知能 #機械学習 #知財 #知的財産 #エンジニア
33,"神楽坂らせん＠『ちょっと上まで…』１０話公開！,,Ծ‸Ծ,,☆",auxps,1,7,2020-09-07-14:36:1599456964,みゅ？すがやみつる先生の『こんにちはPython』のレビューがたくさん「スキ」されたそう。ﾜｰｲ(∩´∀｀)∩☆ありがとうございますー☆https://t.co/teCAXNmpXH https://t.co/TA3Y529q6b
34,Naka/ジオン@はじめてのうぇぶなぞ,Naka_musicgamE,0,2,2020-09-07-14:35:1599456949,競技プログラミング復帰しようかと思ってますけど、どの言語でやろう。python:大学で扱った。最近全く扱ってないNode.js:最近扱ってる。競プロで扱った経験無しほかの言語:習得してる言語は無いです。どうなんですかね
35,カピバラ,kapi_dentsu,0,1,2020-09-07-14:35:1599456947,@python_01 普通に家の近くだった(西調布)
36,真っ白しろすけ,python_01,0,2,2020-09-07-14:35:1599456935,@chutoro_detteiu 俺もやれば浮かなかっただろうw
37,MIZ/プログラミング初心者,MIZ91711535,0,2,2020-09-07-14:35:1599456919,9/7(月)udemypython → 1時間(基礎の復習)JavaScript → 1時間(callback関数、reduce関数)TOEIC → 1時間30分(リスニング、文法)pythonは応用編に行く前に9月いっぱいは復習します… 焦ってもしょうがない^_^ TOEICの抽選がダメだったので11月開催にまた応募します👌
38,すのくろ@プログラミング学習中,suno_snowcrow,0,12,2020-09-07-14:35:1599456909,#今日の積み上げ・MATLAB 画像解析用プログラムの作成・#Progate 道場コース初級編研究で必要だった画像解析にpython 講座で得た知識・考え方が役立った。言語は違くても本質は同じですね。夜は、HP作成したい衝動に駆られて道場コースをやりました笑#駆け出しエンジニアと繋がりたい
39,picpie,picpie,0,2,2020-09-07-14:33:1599456795,Pydroid 3 - IDE for Python 3というAndroid用Pythonを試してみた。無料版だがtkinterやmatplotlibも動くので、Windowsで作ったコロナ感染シミュレーションアプリがソース改変なしでそのまま動いた。かなり遊べる。有料版だとOpenCVにTensorFlowも動くらしい。 https://t.co/ifwFfCzhaO
40,真っ白しろすけ,python_01,0,1,2020-09-07-14:33:1599456788,@kapi_dentsu 調布駅前？
41,Ph.D。WEB界隈のソフトウェアエンジニア。,yayoshM,1,3,2020-09-07-14:32:1599456763,こういうひとってPHPにしろRubyにしろPythonにしろ、問題が起きたとき何も対応できなさそう...【実体験】C言語はつまらないので、挫折します【本音を話します】 https://t.co/aG2TJZc6ZN @YouTubeより
42,ika墨,ikasumi_tan,0,1,2020-09-07-14:32:1599456747,@ru_nile @Leon_569 PythonのインストールだけしてしまえばあとはPythonのIDLEでコード書いて環境を整えば行けると思います自分も電気電子系でプログラム殆ど触っていませんでしたが何とか出来たので頑張って
43,らぐIV-凍結されしらぐたち-,4daime_lag,0,1,2020-09-07-14:32:1599456737,@kyota_python どんなゲームにするかとかは全く考えていないのですただショタを自由に動かせるゲームが作りたい
44,DaisukeNagata,dbank0208,0,1,2020-09-07-14:31:1599456707,Pythonは3.8.5のドキュメントが日本語でもあるので、音声でも聴ける。Pythonの良いところは、デザイン系よりも、データからの機械学習の機能がコアなサービス機能になり得る部分が楽しい。web言語は2言語ぐらい使うと便利にサービスを作れると思う。
45,Moe.U(もえ氏),moepy_stats,0,3,2020-09-07-14:31:1599456673,Pythonだとnumpy使う場合/使わない場合に分けて実装する必要があるかも…？
46,ヒロヤン@Python｜カジノ系エンジニア,Hiroyan_python,0,5,2020-09-07-14:30:1599456633,今日の積み上げ✔️ブログ1記事投稿✔️基本情報技術者月曜から夜ふかししないで明日に備えて寝ます夜のランニングが蒸し暑くなく心地よいですね！心身共に健やかに。明日も頑張りましょう！😪
47,白緑@(計算機(工|科)|数)学,White_Green2525,0,1,2020-09-07-14:30:1599456605,ACLそのままPythonに移植したやつとか通らないのあるんじゃない?どうするんだろ
48,くろのーげん,n0gen,0,1,2020-09-07-14:28:1599456481,TLで見かけたpythonで自動翻訳してくれるコンテンツを導入しようと昔使ったjupyter notebookを使ったんやけど導入の初歩の初歩で意味わからんエラー出て止まってる何が間違いなんこれ https://t.co/X5ii1PHaAs
